,Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_Bonus
150,2020-07-22,16,25,36,44,55,14
151,2020-07-18,13,16,32,58,59,09
152,2020-07-15,27,47,61,62,69,04
153,2020-07-11,14,19,61,62,64,04
154,2020-07-08,03,10,34,36,62,05
155,2020-07-04,16,21,27,60,61,06
156,2020-07-01,15,28,52,53,63,18
157,2020-06-27,09,36,49,56,62,08
158,2020-06-24,15,22,27,33,46,23
159,2020-06-20,10,31,41,63,67,05
160,2020-06-17,07,10,63,64,68,10
161,2020-06-13,02,12,32,50,65,05
162,2020-06-10,10,33,41,52,54,18
163,2020-06-06,01,17,38,68,69,18
164,2020-06-03,01,03,26,41,64,17
165,2020-05-30,13,32,41,58,60,14
166,2020-05-27,38,58,59,64,68,21
167,2020-05-23,02,08,18,21,23,16
168,2020-05-20,18,34,40,42,50,09
169,2020-05-16,08,12,26,39,42,11
170,2020-05-13,39,53,54,56,57,20
171,2020-05-09,12,18,42,48,65,19
172,2020-05-06,07,08,35,50,65,20
173,2020-05-02,13,16,33,58,68,24
174,2020-04-29,02,20,49,61,67,20
175,2020-04-25,01,03,21,47,57,18
176,2020-04-22,01,33,35,40,69,24
177,2020-04-18,04,44,46,56,63,19
178,2020-04-15,10,12,33,36,41,02
179,2020-04-11,22,29,30,42,47,17
180,2020-04-08,02,37,39,48,54,05
181,2020-04-04,08,31,39,40,43,04
182,2020-04-01,33,35,45,48,60,16
183,2020-03-28,07,40,48,55,66,11
184,2020-03-25,05,09,27,39,42,16
185,2020-03-21,02,23,40,59,69,13
186,2020-03-18,15,27,44,59,63,08
187,2020-03-14,09,23,26,30,32,08
188,2020-03-11,04,29,49,50,67,02
189,2020-03-07,07,15,21,33,62,23
190,2020-03-04,18,43,58,60,68,14
191,2020-02-29,24,44,46,50,51,13
192,2020-02-26,08,27,29,36,47,24
193,2020-02-22,25,37,39,61,62,11
194,2020-02-19,10,12,15,19,56,19
195,2020-02-15,16,32,35,36,46,03
196,2020-02-12,14,47,54,55,68,25
197,2020-02-08,35,49,50,59,66,06
198,2020-02-05,23,30,35,41,57,02
199,2020-02-01,12,33,54,57,60,13
200,2020-01-29,09,12,15,31,60,02
201,2020-01-25,02,09,17,36,67,18
202,2020-01-22,11,33,44,59,67,08
203,2020-01-18,20,24,38,56,68,18
204,2020-01-15,39,41,53,55,68,19
205,2020-01-11,03,21,23,31,59,03
206,2020-01-08,02,04,07,43,56,22
207,2020-01-04,01,11,21,25,54,07
208,2020-01-01,49,53,57,59,62,26
209,2021-12-29,02,06,09,33,39,11
210,2021-12-27,36,38,45,62,64,19
211,2021-12-25,27,29,45,55,58,02
212,2021-12-22,07,16,19,48,68,15
213,2021-12-20,02,13,23,34,66,02
214,2021-12-18,02,06,24,51,61,01
215,2021-12-15,19,20,40,42,59,15
216,2021-12-13,10,30,37,53,59,04
217,2021-12-11,03,25,44,53,64,10
218,2021-12-08,03,07,33,50,69,24
219,2021-12-06,03,21,38,50,59,06
220,2021-12-04,10,40,45,56,67,02
221,2021-12-01,12,15,38,57,63,24
222,2021-11-29,18,26,28,38,47,17
223,2021-11-27,08,32,55,64,66,10
224,2021-11-24,10,16,32,63,65,17
225,2021-11-22,07,20,29,38,67,22
226,2021-11-20,40,43,48,59,69,19
227,2021-11-17,03,16,48,52,60,01
228,2021-11-15,05,31,34,51,53,23
229,2021-11-13,08,15,26,35,45,09
230,2021-11-10,19,25,43,46,48,14
231,2021-11-08,21,46,47,57,62,08
232,2021-11-06,08,30,48,57,64,09
233,2021-11-03,01,02,24,50,57,26
234,2021-11-01,09,25,34,44,45,08
235,2021-10-30,05,23,28,43,56,19
236,2021-10-27,03,06,26,35,51,17
237,2021-10-25,10,27,29,44,58,24
238,2021-10-23,10,30,51,57,63,20
239,2021-10-20,07,29,36,41,43,05
240,2021-10-18,30,32,48,53,63,12
241,2021-10-16,30,31,41,42,48,03
242,2021-10-13,23,29,47,59,60,15
243,2021-10-11,11,20,33,39,65,24
244,2021-10-09,12,17,30,45,62,05
245,2021-10-06,01,17,52,58,64,01
246,2021-10-04,12,22,54,66,69,15
247,2021-10-02,28,38,42,47,52,01
248,2021-09-29,02,07,11,17,32,11
249,2021-09-27,21,22,39,44,60,12
250,2021-09-25,22,23,37,62,63,19
251,2021-09-22,20,40,47,55,63,05
252,2021-09-20,37,51,54,58,60,19
253,2021-09-18,05,36,39,45,57,11
254,2021-09-15,01,04,18,46,62,25
255,2021-09-13,37,40,50,61,63,21
256,2021-09-11,20,31,38,40,49,21
257,2021-09-08,09,22,41,47,61,21
258,2021-09-06,11,20,22,33,54,24
259,2021-09-04,32,35,40,52,54,01
260,2021-09-01,10,20,29,48,51,17
261,2021-08-30,03,15,45,51,61,08
262,2021-08-28,12,22,26,46,59,26
263,2021-08-25,27,39,54,56,59,24
264,2021-08-23,17,36,47,60,61,15
265,2021-08-21,16,28,36,39,59,04
266,2021-08-18,35,36,51,55,61,26
267,2021-08-14,06,21,49,65,67,18
268,2021-08-11,12,18,20,29,30,16
269,2021-08-07,07,24,36,54,60,23
270,2021-08-04,05,21,32,36,58,14
